alias,preferred_term,alias_type,country_scope,source,confidence
recruiting,talent_acquisition,alias,all,open_taxonomy_supported,4
recruitment,talent_acquisition,alias,all,open_taxonomy_supported,4
hiring,talent_acquisition,alias,all,open_taxonomy_supported,4
full-cycle recruiting,talent_acquisition,alias,all,open_taxonomy_supported,4
TA,talent_acquisition,alias,all,open_taxonomy_supported,4
talent partner,talent_acquisition,alias,all,open_taxonomy_supported,4
corporate recruiting,talent_acquisition,alias,all,open_taxonomy_supported,4
agency recruiting,talent_acquisition,alias,all,open_taxonomy_supported,4
talent sourcing,sourcing_research,alias,all,open_taxonomy_supported,4
candidate sourcing,sourcing_research,alias,all,open_taxonomy_supported,4
talent research,sourcing_research,alias,all,open_taxonomy_supported,4
headhunting research,sourcing_research,alias,all,open_taxonomy_supported,4
market mapping,sourcing_research,alias,all,open_taxonomy_supported,4
lead sourcing,sourcing_research,alias,all,open_taxonomy_supported,4
recruiting operations,recruitment_operations,alias,all,open_taxonomy_supported,4
TA operations,recruitment_operations,alias,all,open_taxonomy_supported,4
recruitment ops,recruitment_operations,alias,all,open_taxonomy_supported,4
ATS operations,recruitment_operations,alias,all,open_taxonomy_supported,4
recruiting enablement,recruitment_operations,alias,all,open_taxonomy_supported,4
QA,quality_assurance,alias,all,open_taxonomy_supported,4
testing,quality_assurance,alias,all,open_taxonomy_supported,4
quality control,quality_assurance,alias,all,open_taxonomy_supported,4
software testing,quality_assurance,alias,all,open_taxonomy_supported,4
inspection,quality_assurance,alias,all,open_taxonomy_supported,4
quality testing,quality_assurance,alias,all,open_taxonomy_supported,4
test assurance,quality_assurance,alias,all,open_taxonomy_supported,4
software development,software_engineering,alias,all,open_taxonomy_supported,4
coding,software_engineering,alias,all,open_taxonomy_supported,4
application development,software_engineering,alias,all,open_taxonomy_supported,4
backend development,software_engineering,alias,all,open_taxonomy_supported,4
frontend development,software_engineering,alias,all,open_taxonomy_supported,4
full-stack development,software_engineering,alias,all,open_taxonomy_supported,4
solution architecture,technical_architecture,alias,all,open_taxonomy_supported,4
systems architecture,technical_architecture,alias,all,open_taxonomy_supported,4
software architecture,technical_architecture,alias,all,open_taxonomy_supported,4
enterprise architecture,technical_architecture,alias,all,open_taxonomy_supported,4
platform architecture,technical_architecture,alias,all,open_taxonomy_supported,4
analytics,data_analysis,alias,all,open_taxonomy_supported,4
business analytics,data_analysis,alias,all,open_taxonomy_supported,4
reporting analysis,data_analysis,alias,all,open_taxonomy_supported,4
BI analysis,data_analysis,alias,all,open_taxonomy_supported,4
data analytics,data_analysis,alias,all,open_taxonomy_supported,4
ETL engineering,data_engineering,alias,all,open_taxonomy_supported,4
data pipeline engineering,data_engineering,alias,all,open_taxonomy_supported,4
warehouse engineering,data_engineering,alias,all,open_taxonomy_supported,4
analytics engineering,data_engineering,alias,all,open_taxonomy_supported,4
machine learning,data_science_ai,alias,all,open_taxonomy_supported,4
ML,data_science_ai,alias,all,open_taxonomy_supported,4
AI modeling,data_science_ai,alias,all,open_taxonomy_supported,4
