role_title,mapped_term,mapped_dimension,role_family,country_scope,source,confidence
recruiter,talent_acquisition,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
technical recruiter,talent_acquisition,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
talent acquisition specialist,talent_acquisition,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
talent partner,talent_acquisition,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
sourcing specialist,talent_acquisition,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
campus recruiter,talent_acquisition,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
executive recruiter,talent_acquisition,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
sourcer,sourcing_research,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
talent sourcer,sourcing_research,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
research associate,sourcing_research,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
sourcing specialist,sourcing_research,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
internet researcher,sourcing_research,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
executive search researcher,sourcing_research,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
recruiting operations specialist,recruitment_operations,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
TA operations manager,recruitment_operations,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
ATS administrator,recruitment_operations,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
recruiting coordinator,recruitment_operations,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
recruitment analyst,recruitment_operations,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
QA analyst,quality_assurance,capability,operations_and_delivery,Canada/India/USA,open_taxonomy_supported,4
test engineer,quality_assurance,capability,operations_and_delivery,Canada/India/USA,open_taxonomy_supported,4
quality inspector,quality_assurance,capability,operations_and_delivery,Canada/India/USA,open_taxonomy_supported,4
quality analyst,quality_assurance,capability,operations_and_delivery,Canada/India/USA,open_taxonomy_supported,4
